voter_country,receiver_country,Score
Belarus,Ukraine,3.990217792543374
Belarus,United Kingdom,-0.28268913918375066
Belgium,Armenia,1.8474467418546365
Belgium,Australia,-0.009932474407800576
Belgium,Austria,0.4972314507198228
Belgium,Azerbaijan,-1.2196546948985971
Belgium,Bulgaria,-0.4034095749212028
Belgium,Croatia,-1.619047619047619
Belgium,Cyprus,-0.5632446774250518
Belgium,Czechia,-1.0739329268292683
Belgium,France,4.001613651539231
Belgium,Georgia,-0.5714285714285714
Belgium,Germany,-0.27038575119970465
Belgium,Hungary,-1.8213362864525655
Belgium,Israel,0.16867574895905801
Belgium,Italy,0.6848389048703364
Belgium,Latvia,-1.5
Belgium,Lithuania,-0.9894406465627397
Belgium,Malta,-0.02462848804312216
Belgium,Poland,3.995379072681704
Belgium,Russia,-3.37018672384526
Belgium,Serbia,-2.138717044913869
Belgium,Spain,0.7052615941441805
Belgium,Sweden,0.20338427957660402
Belgium,Netherlands,7.42570766820625
Belgium,Ukraine,-1.47069744650834
Belgium,United Kingdom,-0.4509594261225005
Bosnia & Herzegovina,Armenia,-3.1904761904761907
Bosnia & Herzegovina,Australia,-1.5476190476190474
Bosnia & Herzegovina,Austria,2.142857142857143
Bosnia & Herzegovina,Azerbaijan,6.261904761904762
Bosnia & Herzegovina,Belgium,-1.2142857142857142
Bosnia & Herzegovina,Bulgaria,-2.2857142857142856
Bosnia & Herzegovina,Croatia,9.214285714285714
Bosnia & Herzegovina,Cyprus,-1.2619047619047619
Bosnia & Herzegovina,Czechia,0.0
Bosnia & Herzegovina,France,1.4047619047619047
Bosnia & Herzegovina,Georgia,-0.5714285714285714
Bosnia & Herzegovina,Germany,-0.23809523809523808
Bosnia & Herzegovina,Hungary,-0.33333333333333326
Bosnia & Herzegovina,Israel,-0.2619047619047619
Bosnia & Herzegovina,Italy,-0.8095238095238095
Bosnia & Herzegovina,Latvia,-1.5
Bosnia & Herzegovina,Lithuania,-2.2857142857142856
Bosnia & Herzegovina,Malta,-0.38095238095238093
Bosnia & Herzegovina,Poland,-5.285714285714286
Bosnia & Herzegovina,Russia,-2.595238095238095
Bosnia & Herzegovina,Serbia,10.095238095238095
Bosnia & Herzegovina,Spain,-0.23809523809523808
Bosnia & Herzegovina,Sweden,-3.3095238095238093
Bosnia & Herzegovina,Netherlands,-0.9285714285714286
Bosnia & Herzegovina,Ukraine,-0.6904761904761907
Bosnia & Herzegovina,United Kingdom,-0.19047619047619047
Bulgaria,Armenia,2.9281746031746025
Bulgaria,Australia,0.03636489479512739
Bulgaria,Austria,1.1638981173864893
Bulgaria,Azerbaijan,0.3351877289377289
Bulgaria,Belgium,-0.8719093406593407
Bulgaria,Croatia,-1.119047619047619
Bulgaria,Cyprus,3.2410661044381976
Bulgaria,Czechia,-0.7083333333333334
Bulgaria,France,1.850782860550303
Bulgaria,Georgia,-0.5714285714285714
Bulgaria,Germany,-0.7244629014396456
Bulgaria,Hungary,1.5119970468807677
Bulgaria,Israel,0.9335335207428233
Bulgaria,Italy,-0.49128971803390387
Bulgaria,Latvia,-1.5
Bulgaria,Lithuania,-2.7394406465627394
Bulgaria,Malta,-0.793040293040293
Bulgaria,Poland,-0.9623015873015873
Bulgaria,Russia,3.9203296703296706
Bulgaria,Serbia,2.6558719865405913
Bulgaria,Spain,0.3048504983388704
Bulgaria,Sweden,-1.382656103586336
Bulgaria,Netherlands,-0.6159800664451828
Bulgaria,Ukraine,0.02989990629525523
Bulgaria,United Kingdom,-0.5265171650055371
Croatia,Armenia,-1.4051587301587303
Croatia,Australia,-0.6099324744078005
Croatia,Austria,0.4972314507198228
Croatia,Azerbaijan,-0.8196546948985974
Croatia,Belgium,-0.6219093406593407
Croatia,Bulgaria,-1.1534095749212028
Croatia,Cyprus,-0.36324467742505173
Croatia,Czechia,0.35664313222079586
Croatia,France,-0.11215249425686187
Croatia,Georgia,-0.5714285714285714
Croatia,Germany,-0.103719084533038
Croatia,Hungary,2.845330380214101
Croatia,Israel,-0.6646575843742754
Croatia,Italy,2.8276960477274793
Croatia,Latvia,-1.5
Croatia,Lithuania,-1.9894406465627397
Croatia,Malta,-0.6912951547097889
Croatia,Poland,-1.628968253968254
